1,1,822710,822930,822820,1.4191571865855
1,2,2049815,2049855,2049835,1.39973046060785
1,3,2305629,3249057,2777343,1.38835370542193
1,4,3553857,3601437,3577647,1.37596026197592
1,5,4727118,4784221,4755669.5,1.3579494511355
1,6,5647166,5741816,5694491,1.34379358496191
1,7,6866471,7016037,6941254,1.32526567734432
1,8,8150126,8998274,8574200,1.30146679833902
1,9,9869326,11158004,10513665,1.27389023586389
1,10,11379578,11869096,11624337,1.25843515670029
1,11,Inf,-Inf,NaN,NaN
1,12,Inf,-Inf,NaN,NaN
1,13,17021138,17160556,17090847,1.18594673190802
1,14,18188932,19667901,18928416.5,1.16291555745099
1,15,20503996,21224496,20864246,1.13937985821845
1,16,21772072,21772239,21772155.5,1.12859851557018
1,17,23611387,23611387,23611387,1.10726068617128
1,18,24143269,24982219,24562744,1.0964877567083
1,19,26259422,26393362,26326392,1.0769932169813
1,20,27101326,28074319,27587822.5,1.06342974541684
1,21,Inf,-Inf,NaN,NaN
1,22,Inf,-Inf,NaN,NaN
1,23,32738897,32738897,32738897,1.01133059462014
1,24,Inf,-Inf,NaN,NaN
1,25,34407783,34408357,34408070,0.995581237662079
1,26,36086641,36087084,36086862.5,0.980300516803935
1,27,36828800,36874545,36851672.5,0.973525062796642
1,28,38302370,38302728,38302549,0.96099169459411
1,29,Inf,-Inf,NaN,NaN
1,30,41477610,41785203,41631406.5,0.93381901719567
1,31,42620205,43246826,42933515.5,0.923790364236509
1,32,43989116,43989116,43989116,0.91590798850287
1,33,45565200,45565200,45565200,0.904551877708547
1,34,46118784,46402572,46260678,0.899698007144914
1,35,46622091,47591763,47106927,0.893921730156191
1,36,47856002,48425887,48140944.5,0.887057298778817
1,37,49393074,49393074,49393074,0.879029812129484
1,38,51036938,51845103,51441020.5,0.866572935943379
1,39,52306846,52750864,52528855,0.860295564719432
1,40,53968514,54366390,54167452,0.851284650113861
1,41,Inf,-Inf,NaN,NaN
1,42,56902631,56902631,56902631,0.83743410821005
1,43,57341049,57672661,57506855,0.834575229297691
1,44,59435591,59770920,59603255.5,0.825219620331421
1,45,60411957,61188882,60800419.5,0.820269467155227
1,46,61381912,61936456,61659184,0.816894284225785
1,47,63319072,63319072,63319072,0.810786557678912
1,48,Inf,-Inf,NaN,NaN
1,49,Inf,-Inf,NaN,NaN
1,50,65624310,65632021,65628165.5,0.803202161290879
1,51,66759099,67885450,67322274.5,0.798312713159723
1,52,68172211,68986106,68579158.5,0.795054315125656
1,53,69138050,69804466,69471258,0.792932405046757
1,54,70840701,71370844,71105772.5,0.789455646922598
